external_id,order_external_id,sku,product_name,category,brand,quantity,unit_price,line_total
ITEM-00001-01-01,ORD-00001-01,NA-GIE-06,Giesen 0% Sauvignon Blanc,Non-Alcoholic,Giesen,2,18.99,37.98
ITEM-00001-01-02,ORD-00001-01,BEER-PAN-12,Panhead Supercharger IPA 12pk,Beer,Panhead,2,39.99,79.98
ITEM-00001-01-03,ORD-00001-01,BEER-EMR-12,Emerson's Pilsner 12pk,Beer,Emerson's,1,34.99,34.99
ITEM-00001-02-01,ORD-00001-02,SPIR-BAC-RM,Bacardi Carta Blanca 1L,Spirits,Bacardi,1,49.99,49.99
ITEM-00001-03-01,ORD-00001-03,BEER-GAR-06,Garage Project Hazy Daze 6pk,Beer,Garage Project,1,24.99,24.99
ITEM-00001-04-01,ORD-00001-04,BEER-EMR-12,Emerson's Pilsner 12pk,Beer,Emerson's,1,34.99,34.99
ITEM-00002-01-01,ORD-00002-01,BEER-EPI-06,Epic Pale Ale 6pk,Beer,Epic,2,22.99,45.98
ITEM-00002-02-01,ORD-00002-02,MIX-EAS-04,East Imperial Ginger Beer 4pk,Mixers,East Imperial,1,12.99,12.99
ITEM-00002-03-01,ORD-00002-03,BEER-EPI-06,Epic Pale Ale 6pk,Beer,Epic,1,22.99,22.99
ITEM-00002-04-01,ORD-00002-04,WINE-MTD-PG,Mt Difficulty Pinot Gris,Wine,Mt Difficulty,2,27.99,55.98
ITEM-00002-05-01,ORD-00002-05,WINE-CLO-SB,Cloudy Bay Sauvignon Blanc,Wine,Cloudy Bay,1,39.99,39.99
ITEM-00002-05-02,ORD-00002-05,BEER-STE-24,Steinlager Classic 24pk,Beer,Steinlager,1,52.99,52.99
ITEM-00002-06-01,ORD-00002-06,WINE-FEL-PN,Felton Road Pinot Noir,Wine,Felton Road,1,74.99,74.99
ITEM-00002-07-01,ORD-00002-07,SPIR-42B-VK,42 Below Vodka 1L,Spirits,42 Below,1,54.99,54.99
ITEM-00002-08-01,ORD-00002-08,SPIR-SCA-WH,Scapegrace Whisky 700ml,Spirits,Scapegrace,1,89.99,89.99
ITEM-00002-08-02,ORD-00002-08,WINE-BAB-RO,Babich Rosé,Wine,Babich,1,17.99,17.99
ITEM-00002-09-01,ORD-00002-09,BEER-STE-12,Steinlager Classic 12pk,Beer,Steinlager,1,28.99,28.99
ITEM-00002-09-02,ORD-00002-09,WINE-VIL-SB,Villa Maria Sauvignon Blanc,Wine,Villa Maria,1,19.99,19.99
ITEM-00003-01-01,ORD-00003-01,RTD-LNS-10,Long White Vodka 10pk,RTDs,Long White,1,29.99,29.99
ITEM-00003-02-01,ORD-00003-02,SPIR-SCA-WH,Scapegrace Whisky 700ml,Spirits,Scapegrace,2,89.99,179.98
ITEM-00003-02-02,ORD-00003-02,RTD-PAL-06,Pals Vodka Soda 6pk,RTDs,Pals,2,21.99,43.98
ITEM-00003-03-01,ORD-00003-03,NA-GIE-06,Giesen 0% Sauvignon Blanc,Non-Alcoholic,Giesen,2,18.99,37.98
ITEM-00003-03-02,ORD-00003-03,BEER-EMR-12,Emerson's Pilsner 12pk,Beer,Emerson's,1,34.99,34.99
ITEM-00003-03-03,ORD-00003-03,WINE-BAB-RO,Babich Rosé,Wine,Babich,2,17.99,35.98
ITEM-00003-04-01,ORD-00003-04,SPIR-SCA-WH,Scapegrace Whisky 700ml,Spirits,Scapegrace,1,89.99,89.99
ITEM-00003-05-01,ORD-00003-05,SPIR-BAC-RM,Bacardi Carta Blanca 1L,Spirits,Bacardi,1,49.99,49.99
ITEM-00004-01-01,ORD-00004-01,WINE-VIL-SB,Villa Maria Sauvignon Blanc,Wine,Villa Maria,1,19.99,19.99
ITEM-00004-01-02,ORD-00004-01,SPIR-SCA-WH,Scapegrace Whisky 700ml,Spirits,Scapegrace,1,89.99,89.99
ITEM-00004-01-03,ORD-00004-01,WINE-CLO-SB,Cloudy Bay Sauvignon Blanc,Wine,Cloudy Bay,1,39.99,39.99
ITEM-00004-02-01,ORD-00004-02,WINE-MTD-PG,Mt Difficulty Pinot Gris,Wine,Mt Difficulty,2,27.99,55.98
ITEM-00004-02-02,ORD-00004-02,SPIR-BRO-GN,Broken Heart Gin 700ml,Spirits,Broken Heart,1,79.99,79.99
ITEM-00004-03-01,ORD-00004-03,WINE-BAB-RO,Babich Rosé,Wine,Babich,1,17.99,17.99
ITEM-00004-03-02,ORD-00004-03,WINE-BAB-RO,Babich Rosé,Wine,Babich,1,17.99,17.99
ITEM-00004-03-03,ORD-00004-03,WINE-BAB-RO,Babich Rosé,Wine,Babich,2,17.99,35.98
ITEM-00004-03-04,ORD-00004-03,WINE-BAB-RO,Babich Rosé,Wine,Babich,2,17.99,35.98
ITEM-00004-03-05,ORD-00004-03,WINE-OYS-CH,Oyster Bay Chardonnay,Wine,Oyster Bay,2,21.99,43.98
ITEM-00004-04-01,ORD-00004-04,WINE-VIL-SB,Villa Maria Sauvignon Blanc,Wine,Villa Maria,1,19.99,19.99
ITEM-00004-04-02,ORD-00004-04,WINE-OYS-CH,Oyster Bay Chardonnay,Wine,Oyster Bay,2,21.99,43.98
ITEM-00004-05-01,ORD-00004-05,WINE-FEL-PN,Felton Road Pinot Noir,Wine,Felton Road,1,74.99,74.99
ITEM-00004-05-02,ORD-00004-05,WINE-CLO-SB,Cloudy Bay Sauvignon Blanc,Wine,Cloudy Bay,2,39.99,79.98
ITEM-00004-06-01,ORD-00004-06,WINE-CLO-SB,Cloudy Bay Sauvignon Blanc,Wine,Cloudy Bay,1,39.99,39.99
ITEM-00004-06-02,ORD-00004-06,WINE-BAB-RO,Babich Rosé,Wine,Babich,1,17.99,17.99
ITEM-00004-07-01,ORD-00004-07,BEER-PAN-12,Panhead Supercharger IPA 12pk,Beer,Panhead,2,39.99,79.98
ITEM-00004-07-02,ORD-00004-07,WINE-FEL-PN,Felton Road Pinot Noir,Wine,Felton Road,1,74.99,74.99
ITEM-00004-08-01,ORD-00004-08,WINE-BAB-RO,Babich Rosé,Wine,Babich,1,17.99,17.99
ITEM-00004-08-02,ORD-00004-08,WINE-VIL-SB,Villa Maria Sauvignon Blanc,Wine,Villa Maria,2,19.99,39.98
ITEM-00004-09-01,ORD-00004-09,MIX-EAS-04,East Imperial Ginger Beer 4pk,Mixers,East Imperial,1,12.99,12.99
ITEM-00004-09-02,ORD-00004-09,WINE-BAB-RO,Babich Rosé,Wine,Babich,1,17.99,17.99
ITEM-00004-09-03,ORD-00004-09,BEER-GAR-06,Garage Project Hazy Daze 6pk,Beer,Garage Project,2,24.99,49.98
ITEM-00004-09-04,ORD-00004-09,WINE-VIL-SB,Villa Maria Sauvignon Blanc,Wine,Villa Maria,1,19.99,19.99
ITEM-00004-10-01,ORD-00004-10,WINE-VIL-SB,Villa Maria Sauvignon Blanc,Wine,Villa Maria,1,19.99,19.99
ITEM-00004-10-02,ORD-00004-10,WINE-MTD-PG,Mt Difficulty Pinot Gris,Wine,Mt Difficulty,2,27.99,55.98
ITEM-00004-10-03,ORD-00004-10,WINE-FEL-PN,Felton Road Pinot Noir,Wine,Felton Road,1,74.99,74.99
ITEM-00004-10-04,ORD-00004-10,WINE-BAB-RO,Babich Rosé,Wine,Babich,1,17.99,17.99
ITEM-00004-11-01,ORD-00004-11,WINE-OYS-CH,Oyster Bay Chardonnay,Wine,Oyster Bay,2,21.99,43.98
